id,name,category,description
cG7HH0l7J9,"EBS Magnetic (standard) Volume Storage","service_limits","Checks for usage that is more than 80% of the EBS Magnetic (standard) Volume Storage Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.<br><br><h4 class='headerBodyStyle'>Alert Criteria</h4><br>Yellow: 80% of limit reached.<br>Red: 100% of limit reached.<br>Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.<br><br><h4 class='headerBodyStyle'>Recommended Action</h4><br>If you expect to exceed a service limit, request an increase directly from the <a href=""https://us-east-1.console.aws.amazon.com/servicequotas/home?region=us-east-1"" target=""_blank"">Service Quotas</a> console. If Service Quotas doesn’t support your service yet, you can create a support case in <a href=""https://aws.amazon.com/support/createCase?type=service_limit_increase"" target=""_blank"">Support Center</a>.<br><br><h4 class='headerBodyStyle'>Additional Resources</h4><br><a href=""https://docs.aws.amazon.com/general/latest/gr/aws_service_limits.html#limits_ebs"" target=""_blank"">EBS Limits</a>"
c18d2gz123,"AWS Site-to-Site VPN has at least one Tunnel in DOWN Status","fault_tolerance","Checks the number of tunnels that are active for each of your AWS Site-to-Site VPNs.<br><br>A VPN should have two tunnels configured at all times. This provides redundancy in case of outage or planned maintenance of the devices at the AWS endpoint. For some hardware, only one tunnel is active at a time. If a VPN has no active tunnels, charges for the VPN might still apply. <br><br>For more information, see <a href=""https://docs.aws.amazon.com/vpn/latest/s2svpn/VPC_VPN.html"" target=""_blank""> What is AWS Site-to-Site VPN?</a><br><br><b>Source</b><br>AWS Config Managed Rule: vpc-vpn-2-tunnels-up<br><br><b>Alert Criteria</b><br>Yellow: A Site-to-Site VPN has at least one tunnel DOWN.<br><br><b>Recommended Action</b><br>Make sure that two tunnels are configured for VPN connections. And, if your hardware supports it, then make sure that both tunnels are active. If you no longer need a VPN connection, then delete it to avoid charges.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/vpn/latest/s2svpn/your-cgw.html"" target=""_blank"">Your customer gateway device</a> and the content available on the <a href=""https://repost.aws/knowledge-center#AWS_Virtual_Private_Network_.28AWS_VPN.29"" target=""_blank"">AWS Knowledge Center</a>.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/vpn/latest/s2svpn/VPC_VPN.html"" target=""_blank"">AWS Site-to-Site VPN User Guide</a><br><a href=""https://docs.aws.amazon.com/vpn/latest/s2svpn/SetUpVPNConnections.html#vpn-create-target-gateway"" target=""_blank"">Adding a Virtual Private Gateway to Your VPC</a>"
c18d2gz121,"Amazon SNS Topics Not Logging Message Delivery Status","operational_excellence","Checks if Amazon Simple Notification Service (SNS) topics have message delivery status logging turned on.<br><br>Configure SNS topics for logging message delivery status to help provide better operational insights. For example, message delivery logging verifies if a message was delivered to a particular Amazon SNS endpoint. And,  it also helps identify the response sent from the endpoint.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/"" target=""_blank"">Amazon SNS message delivery status</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: sns-topic-message-delivery-notification-enabled<br><br><b>Alert Criteria</b><br>Yellow: Message delivery status logging is not turned on for a SNS topic.<br><br><b>Recommended Action</b><br>Turn on message delivery status logging for your SNS topics. For more information, see <a href=""https://docs.aws.amazon.com/sns/latest/dg/sns-topic-attributes.html#topics-attrib"" target=""_blank"">Configuring delivery status logging using the AWS Management Console</a>.<br><br"
sU7XX0l7J9,"IAM Group","service_limits","Checks for usage that is more than 80% of the IAM Group Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.<br><br><h4 class='headerBodyStyle'>Alert Criteria</h4><br>Yellow: 80% of limit reached.<br>Red: 100% of limit reached.<br>Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.<br><br><h4 class='headerBodyStyle'>Recommended Action</h4><br>If you expect to exceed a service limit, request an increase directly from the <a href=""https://us-east-1.console.aws.amazon.com/servicequotas/home?region=us-east-1"" target=""_blank"">Service Quotas</a> console. If Service Quotas doesn’t support your service yet, you can create a support case in <a href=""https://aws.amazon.com/support/createCase?type=service_limit_increase"" target=""_blank"">Support Center</a>.<br><br><h4 class='headerBodyStyle'>Additional Resources</h4><br><a href=""https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-limits.html"" target=""_blank"">IAM Limits</a>"
c18d2gz128,"Amazon ECR Repository Without Lifecycle Policy Configured","cost_optimizing","Checks if a private Amazon ECR repository has at least one lifecycle policy configured.<br><br>Lifecycle policies allow you to define a set of rules to automatically clean up old or unused container images. This gives you control over the lifecycle management of the images, allows ECR repositories to be better organized, and helps to lower overall storage costs.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/AmazonECR/latest/userguide/LifecyclePolicies.html"" target=""_blank"">Lifecycle policies</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: ecr-private-lifecycle-policy-configured<br><br><b>Alert Criteria</b><br>Yellow: An Amazon ECR private repository doesn’t have any lifecycle policies configured.<br><br><b>Recommended Action</b><br>Consider creating at least one lifecycle policy for your private Amazon ECR repository.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/AmazonECR/latest/userguide/LifecyclePolicies.html"" target=""_blank"">Amazon ECR Lifecycle policies</a><br><a href=""https://docs.aws.amazon.com/AmazonECR/latest/userguide/lp_creation.html"" target=""_blank"">Creating a lifecycle policy</a><br><a href=""https://docs.aws.amazon.com/AmazonECR/latest/userguide/lifecycle_policy_examples.html"" target=""_blank"">Examples of lifecycle policies</a>"
c18d2gz129,"Amazon ECR Repository With Tag Immutability Disabled","operational_excellence","Checks if a private Amazon ECR repository has image tag immutability turned on.<br><br>Turn on image tag immutability for a private ECR repository to prevent image tags from being overwritten. This allows you to rely on descriptive tags as a reliable mechanism to track and uniquely identify images.For example, if image tag immutability is turned on, users can reliably use an image tag to correlate a deployed image version with the build that produced such image.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-tag-mutability.html"" target=""_blank"">Image tag mutability</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: ecr-private-tag-immutability-enabled<br><br><b>Alert Criteria</b><br>Yellow: An Amazon ECR private repository doesn’t have tag immutability turned on..<br><br><b>Recommended Action</b><br>Turn on image tag immutability for your Amazon ECR private repositories. For more information, see <a href=""https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-tag-mutability.html"" target=""_blank""> Image tag mutability</a>.<br>"
c18d2gz126,"Amazon API Gateway REST APIs Without X-Ray Tracing Enabled","operational_excellence","Checks if Amazon API Gateway REST APIs have AWS X-Ray tracing turned on.<br><br>Turn on X-Ray tracing for your REST APIs to allow API Gateway to sample API invocation requests with trace information. This allows you to take advantage of AWS X-Ray to trace and analyze requests as they travel through your API Gateway REST APIs to the downstream services.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-xray.html"" target=""_blank"">Tracing user requests to REST APIs using X-Ray</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: api-gw-xray-enabled<br><br><b>Alert Criteria</b><br>Yellow: X-Ray tracing is not turned on for an API Gateway REST API.<br><br><b>Recommended Action</b><br>Turn on X-Ray tracing for your API Gateway REST APIs. For more information, see <a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-enabling-xray.html"" target=""_blank""> Setting up AWS X-Ray with API Gateway REST APIs</a>.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-xray.html"" target=""_blank"">Tracing user requests to REST APIs using X-Ray</a><br><a href=""https://docs.aws.amazon.com/xray/latest/devguide/aws-xray.html"" target=""_blank"">What is AWS X-Ray?</a>"
c18d2gz127,"AWS Account Not Part of AWS Organizations","cost_optimizing","Checks if an AWS account is part of AWS Organizations under the appropriate management account.<br><br>AWS Organizations is an account management service for consolidating multiple AWS accounts into a centrally-managed organization. This enables you to centrally structure accounts for billing consolidation and implement ownership and security policies as your workloads scale on AWS. You can specify the management account id, using the ""MasterAccountId"" parameters of the AWS Config rules.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/organizations/latest/userguide/orgs_introduction.html"" target=""_blank"">What is AWS Organizations?</a><br><br><b>Source</b><br>AWS Config Managed Rule: account-part-of-organizations<br><br><b>Alert Criteria</b><br>Yellow: This AWS account is not part of AWS Organizations under the appropriate management account.<br><br><b>Recommended Action</b><br>Add this AWS account as part of AWS Organizations under the appropriate management account.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/organizations/latest/userguide/orgs_tutorials_basic.html"" target=""_blank"">Tutorial: Creating and configuring an organization</a>.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/organizations/latest/userguide/orgs_introduction.html"" target=""_blank"">What is AWS Organizations?</a><br><a href=""https://docs.aws.amazon.com/organizations/latest/userguide/orgs_tutorials_basic.html"" target=""_blank"">Creating and configuring an organization</a>"
c18d2gz124,"Amazon VPC Peering Connections With DNS Resolution Disabled",security,"Checks if your VPC peering connections have DNS resolution turned on for both the acceptor and requester VPCs.<br><br>DNS resolution for a VPC peering connection allows the resolution of public DNS hostnames to private IPv4 addresses when queried from your VPC. This allows the use of DNS names for communication between resources in peered VPCs. DNS resolution in your VPC peering connections makes application development and management simpler and less error-prone, and it ensures that resources always communicate privately over the VPC peering connection.<br><br>You can specify the vpcIds, using  the “vpcIds"" parameters in your AWS Config rules.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/vpc/latest/peering/modify-peering-connections.html#vpc-peering-dns"" target=""_blank"">Enable DNS resolution for a VPC peering connection</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: vpc-peering-dns-resolution-check<br><br><b>Alert Criteria</b><br>Yellow: DNS resolution is not enabled for both the acceptor and the requestor VPCs in a VPC peering connection.<br><br><b>Recommended Action</b><br>Turn on DNS resolution for your VPC peering connections.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/vpc/latest/peering/modify-peering-connections.html#vpc-peering-dns"" target=""_blank"">Enabling DNS resolution for VPC peering connections</a><br><a href=""https://docs.aws.amazon.com/vpc/latest/userguide/vpc-dns.html#vpc-dns-support"" target=""_blank"">DNS attributes in Amazon VPC</a>"
c18d2gz125,"Amazon API Gateway Not Logging Execution Logs","operational_excellence","Checks if Amazon API Gateway has Amazon CloudWatch Logs turned on.<br><br>Turn on CloudWatch logging for REST API methods or WebSocket API routes in Amazon API Gateway  to collect execution logs in CloudWatch Logs for requests received by your APIs. The information contained in the execution logs  helps identify and troubleshoot issues related to your API.<br>You can specify the logging level, using the ""loggingLevel"" parameters in your AWS Config rules.<br><br>Refer to the REST API or WebSocket API documentation for more information about CloudWatch logging in Amazon API Gateway.<br><br><b>Source</b><br>AWS Config Managed Rule: api-gw-execution-logging-enabled<br><br><b>Alert Criteria</b><br>Yellow: CloudWatch logging for execution logs is not turned on for an Amazon API Gateway.<br><br><b>Recommended Action</b><br>Turn on CloudWatch logging for execution logs for your Amazon API Gateway <a href=""https://docs.aws.amazon.com/"" target=""_blank"">REST APIs</a> or <a href=""https://docs.aws.amazon.com/"" target=""_blank"">WebSocket APIs</a>.<br>To enable CloudWatch logging refer to the Amazon API Gateway documentation for <a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html#set-up-access-logging-using-console"" target=""_blank"">REST APIs</a> or <a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/websocket-api-logging.html"" target=""_blank"">WebSocket APIs</a>.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html"" target=""_blank"">Setting up CloudWatch logging for a REST API</a><br><a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/websocket-api-logging.html"" target=""_blank"">Configuring logging for a WebSocket API</a>"
COr6dfpM04,"Amazon EBS under-provisioned volumes",performance,"Checks the Amazon Elastic Block Storage (Amazon EBS) volumes that were running at any time during the lookback period. This check alerts you if any EBS volumes were under-provisioned for your workloads. Consistent high utilization can indicate optimized, steady performance, but can also indicate that an application does not have enough resources.<br/><br/><h4 class='headerBodyStyle'>Source</h4><br/>AWS Compute Optimizer<br/><br/><h4 class='headerBodyStyle'>Alert Criteria</h4><br/>Yellow: An EBS Volume that was under-provisioned during the lookback period. To determine if a volume is under-provisioned, we consider all default CloudWatch metrics (including IOPS and throughput). The algorithm used to identify under-provisioned EBS volumes follows AWS best practices. The algorithm is updated when a new pattern has been identified.<br/><br/><h4 class='headerBodyStyle'>Recommended Action</h4><br/>Consider upsizing volumes that have high utilization.<br/><br/><h4 class='headerBodyStyle'>Additional Resources</h4><br/>For more information about this recommendation, see the <a href=""https://docs.aws.amazon.com/console/awssupport/trusted-advisor/compute-optimizer"" target=""blank"">Trusted Advisor documentation</a>."
COr6dfpM03,"Amazon EBS over-provisioned volumes","cost_optimizing","Checks the Amazon Elastic Block Storage (Amazon EBS) volumes that were running at any time during the lookback period. This check alerts you if any EBS volumes were over-provisioned for your workloads. When you have over-provisioned volumes, you’re paying for unused resources. Although some scenarios can result in low optimization by design, you can often lower your costs by changing the configuration of your EBS volumes. Estimated monthly savings are calculated by using the current usage rate for EBS volumes. Actual savings will vary if the volume isn’t present for a full month.<br/><br/><h4 class='headerBodyStyle'>Source</h4><br/>AWS Compute Optimizer<br/><br/><h4 class='headerBodyStyle'>Alert Criteria</h4><br/>Yellow: An EBS Volume that was over-provisioned during the lookback period. To determine if a volume is over-provisioned, we consider all default CloudWatch metrics (including IOPS and throughput). The algorithm used to identify over-provisioned EBS volumes follows AWS best practices. The algorithm is updated when a new pattern has been identified.<br/><br/><h4 class='headerBodyStyle'>Recommended Action</h4><br/>Consider downsizing volumes that have low utilization.<br/><br/><h4 class='headerBodyStyle'>Additional Resources</h4><br/>For more information about this recommendation, see the <a href=""https://docs.aws.amazon.com/console/awssupport/trusted-advisor/compute-optimizer"" target=""blank"">Trusted Advisor documentation.</a>."
jtlIMO3qZM,"RDS Cluster Parameter Groups","service_limits","Checks for usage that is more than 80% of the RDS Cluster Parameter Groups Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.<br><br><h4 class='headerBodyStyle'>Alert Criteria</h4><br>Yellow: 80% of limit reached.<br>Red: 100% of limit reached.<br>Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.<br><br><h4 class='headerBodyStyle'>Recommended Action</h4><br>If you expect to exceed a service limit, request an increase directly from the <a href=""https://us-east-1.console.aws.amazon.com/servicequotas/home?region=us-east-1"" target=""_blank"">Service Quotas</a> console. If Service Quotas doesn’t support your service yet, you can create a support case in <a href=""https://aws.amazon.com/support/createCase?type=service_limit_increase"" target=""_blank"">Support Center</a>.<br><br><h4 class='headerBodyStyle'>Additional Resources</h4><br><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Limits.html"" target=""_blank"">RDS Limits</a>"
COr6dfpM06,"AWS Lambda under-provisioned functions for memory size",performance,"Checks the AWS Lambda functions that were invoked at least once during the lookback period. This check alerts you if any of your Lambda functions were under-provisioned for memory size. When you have Lambda functions that are under-provisioned for memory size, these functions take longer time to complete.<br/><br/><h4 class='headerBodyStyle'>Source</h4><br/>AWS Compute Optimizer<br/><br/><h4 class='headerBodyStyle'>Alert Criteria</h4><br/>Yellow: A Lambda function that was under-provisioned for memory size during the lookback period. To determine if a Lambda function is under-provisioned, we consider all default CloudWatch metrics for that function. The algorithm used to identify under-provisioned Lambda functions for memory size follows AWS best practices. The algorithm is updated when a new pattern has been identified.<br/><br/><h4 class='headerBodyStyle'>Recommended Action</h4><br/>Consider increasing the memory size of your Lambda functions.<br/><br/><h4 class='headerBodyStyle'>Additional Resources</h4><br/>For more information about this recommendation, see the <a href=""https://docs.aws.amazon.com/console/awssupport/trusted-advisor/compute-optimizer"" target=""blank"">Trusted Advisor documentation</a>."
